Title,Publisher,Link,DiscountPCT,OriginalPrice,DiscountPrice,Discount_Endtime,Rating,Rating_count,Genre,ReleaseDate
ACE COMBAT™ 7: SKIES UNKNOWN Season Pass (Chinese/Korean Ver.),Bandai Namco Entertainment Inc.,https://store.playstation.com/en-hk/product/HP0700-CUSA07163_00-0000000000000000,60%,HK$169.00,HK$67.60,20/3/2024 03:59 PM UTC,4.61,261,"Action, Shooter, Unique",16/1/2019
"Cult of the Lamb: Heretic Edition (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",Devolver Digital,https://store.playstation.com/en-hk/product/UP3643-PPSA06464_00-0069258593494389,40%,HK$268.00,HK$160.80,20/3/2024 03:59 PM UTC,4.59,3.8k,"Action, Adventure, Strategy",24/5/2023
ONE PIECE: PIRATE WARRIORS 4 (Chinese/Korean Ver.),Bandai Namco Entertainment Inc.,https://store.playstation.com/en-hk/product/HP0700-CUSA16646_00-ASIAFULLGAME0000,70%,HK$299.00,HK$89.70,20/3/2024 03:59 PM UTC,4.66,7.4k,Action,25/3/2020
ONE PIECE: PIRATE WARRIORS 4 Character Pass (Add-On),Bandai Namco Entertainment Inc.,https://store.playstation.com/en-hk/product/HP0700-CUSA16646_00-ASPS000000000002,67%,HK$239.00,HK$78.87,20/3/2024 03:59 PM UTC,4.44,387,"Action, Adventure",25/3/2020
"FATAL FRAME: Mask of the Lunar Eclipse Digital Deluxe Edition (PS4 & PS5) (Simplified Chinese, English, Traditional Chinese)","KOEI TECMO GAMES CO., LTD.",https://store.playstation.com/en-hk/product/HP0106-PPSA10277_00-APPZEROMOLDDX000,30%,HK$576.00,HK$403.20,20/3/2024 03:59 PM UTC,4.38,702,"Adventure, Horror",8/3/2023
"FATAL FRAME: Mask of the Lunar Eclipse (PS4 & PS5) (Simplified Chinese, English, Traditional Chinese)","KOEI TECMO GAMES CO., LTD.",https://store.playstation.com/en-hk/product/HP0106-PPSA10277_00-APPZEROMOL000000,30%,HK$412.00,HK$288.40,20/3/2024 03:59 PM UTC,4.38,702,Horror,8/3/2023
FATAL FRAME: Mask of the Lunar Eclipse Digital Deluxe Upgrade Pack (Add-On),"KOEI TECMO GAMES CO., LTD.",https://store.playstation.com/en-hk/product/HP0106-PPSA10277_00-ZEROMOLDDXUG0000,30%,HK$181.00,HK$126.70,20/3/2024 03:59 PM UTC,0,No,"Adventure, Horror",8/3/2023
"Kingdom Come: Deliverance Royal Edition (English, Korean)",PLAION,https://store.playstation.com/en-hk/product/EP4062-CUSA15436_00-ASIA000000000000,90%,HK$314.00,HK$31.40,20/3/2024 03:59 PM UTC,4.05,19k,Role Playing Games,11/6/2019
Kingdom Come: Deliverance - DLC Collection (English Ver.),PLAION,https://store.playstation.com/en-hk/product/EP4062-CUSA07180_00-ASIA000000000005,75%,HK$157.00,HK$39.25,20/3/2024 03:59 PM UTC,4.43,7,"Adventure, Role Playing Games, Role Playing Games",16/6/2019
"FATAL FRAME: Maiden of Black Water Digital Deluxe Edition PS4 & PS5 (Simplified Chinese, English, Traditional Chinese)","KOEI TECMO GAMES CO., LTD.",https://store.playstation.com/en-hk/product/HP0106-PPSA04336_00-MOBWDDX000000000,30%,HK$421.00,HK$294.70,20/3/2024 03:59 PM UTC,4.66,1.7k,Horror,27/10/2021
"FATAL FRAME: Maiden of Black Water PS4 & PS5 (Simplified Chinese, English, Traditional Chinese)","KOEI TECMO GAMES CO., LTD.",https://store.playstation.com/en-hk/product/HP0106-PPSA04336_00-APPFOCUS00000000,30%,HK$315.00,HK$220.50,20/3/2024 03:59 PM UTC,4.66,1.7k,Horror,27/10/2021
FATAL FRAME 20th Anniversary Celebration DLC (Add-On),"KOEI TECMO GAMES CO., LTD.",https://store.playstation.com/en-hk/product/HP0106-PPSA04336_00-DLCFOCUS00000100,30%,HK$117.00,HK$81.90,20/3/2024 03:59 PM UTC,0,No,Horror,27/10/2021
"Cities: Skylines - Premium Edition 2 (English, Korean)",Paradox Interactive,https://store.playstation.com/en-hk/product/EP4139-CUSA06407_00-ASIA000000000008,75%,HK$547.00,HK$136.75,20/3/2024 03:59 PM UTC,4.06,25k,"Simulation, Simulation",11/2/2019
Cities Skylines - Mass Transit (English/Chinese Ver.),PARADOX INTERACTIVE AB,https://store.playstation.com/en-hk/product/EP4139-PPSA09192_00-CSMASSTRANSIT000,50%,HK$108.00,HK$54.00,20/3/2024 03:59 PM UTC,0,No,Simulation,15/2/2023
Cities: Skylines - Mass Transit (English/Korean Ver.),Paradox Interactive,https://store.playstation.com/en-hk/product/EP4139-CUSA06407_00-ASIA000000000006,,,Not available for purchase,,4.55,56,Simulation,9/8/2018
Cities: Skylines - Hotels & Retreats (English/Chinese/Korean Ver.),PARADOX INTERACTIVE AB,https://store.playstation.com/en-hk/product/EP4139-PPSA09192_00-CSHOTELSRETREATS,50%,HK$78.00,HK$39.00,20/3/2024 03:59 PM UTC,0,No,Simulation,10/8/2023
Cities: Skylines - Industries (English/Chinese Ver.),PARADOX INTERACTIVE AB,https://store.playstation.com/en-hk/product/EP4139-PPSA09192_00-CSINDUSTIRES0000,50%,HK$108.00,HK$54.00,20/3/2024 03:59 PM UTC,0,No,Simulation,15/2/2023
Cities: Skylines - Industries (English/Korean Ver.),Paradox Interactive,https://store.playstation.com/en-hk/product/EP4139-CUSA06407_00-ASIA000000000015,,,Not available for purchase,,4.5,26,Simulation,18/6/2019
Cities Skylines - Airports (English/Chinese Ver.),PARADOX INTERACTIVE AB,https://store.playstation.com/en-hk/product/EP4139-PPSA09192_00-CSAIRPORTS000000,50%,HK$108.00,HK$54.00,20/3/2024 03:59 PM UTC,0,No,Simulation,15/2/2023
Cities Skylines - Green Cities (English/Chinese Ver.),PARADOX INTERACTIVE AB,https://store.playstation.com/en-hk/product/EP4139-PPSA09192_00-CSGREENCITIES000,50%,HK$108.00,HK$54.00,20/3/2024 03:59 PM UTC,4,1,Simulation,15/2/2023
Cities Skylines - Sunset Harbor (English/Chinese Ver.),PARADOX INTERACTIVE AB,https://store.playstation.com/en-hk/product/EP4139-PPSA09192_00-CSSUNSETHARBOR00,50%,HK$108.00,HK$54.00,20/3/2024 03:59 PM UTC,0,No,Simulation,15/2/2023
Cities: Skylines - Plazas & Promenades (English/Chinese/Korean Ver.),PARADOX INTERACTIVE AB,https://store.playstation.com/en-hk/product/EP4139-PPSA09192_00-CITIESPLAZAS0000,50%,HK$108.00,HK$54.00,20/3/2024 03:59 PM UTC,0,No,Simulation,8/5/2023
Cities: Skylines - Plazas and Promenades Bundle (Add-On),Paradox Interactive,https://store.playstation.com/en-hk/product/EP4139-CUSA06407_00-CSPLAZASBUNDLEEU,50%,HK$238.00,HK$119.00,20/3/2024 03:59 PM UTC,4.74,23,"Simulation, Simulator",14/9/2022
Cities: Skylines - Content Creator Pack: Railroads of Japan (English/Chinese/Korean Ver.),PARADOX INTERACTIVE AB,https://store.playstation.com/en-hk/product/EP4139-PPSA09192_00-CSCCPRAILROADSJP,50%,HK$38.00,HK$19.00,20/3/2024 03:59 PM UTC,0,No,Simulation,10/8/2023
Cities Skylines - Parklife (English/Chinese Ver.),PARADOX INTERACTIVE AB,https://store.playstation.com/en-hk/product/EP4139-PPSA09192_00-CSPARKLIFE000000,50%,HK$108.00,HK$54.00,20/3/2024 03:59 PM UTC,0,No,Simulation,15/2/2023
Cities: Skylines - Parklife (English/Korean Ver.),Paradox Interactive,https://store.playstation.com/en-hk/product/EP4139-CUSA06407_00-ASIA000000000012,,,Not available for purchase,,4.48,21,Simulation,28/3/2019
"Sniper Elite 5: Conqueror Mission, Weapon and Skin Pack (English/Chinese/Korean/Japanese Ver.)",REBELLION DEVELOPMENTS LTD,https://store.playstation.com/en-hk/product/EP4529-PPSA04444_00-SNIPERE5DLC00007,50%,HK$78.00,HK$39.00,20/3/2024 03:59 PM UTC,0,No,Shooter,29/11/2022
Sniper Elite 5: Death From Above Weapon and Skin Pack (English/Chinese/Korean/Japanese Ver.),REBELLION DEVELOPMENTS LTD,https://store.playstation.com/en-hk/product/EP4529-PPSA04444_00-SNIPERE5DLC00012,50%,HK$78.00,HK$39.00,20/3/2024 03:59 PM UTC,0,No,Action,11/4/2023
Sniper Elite 5: Kraken Awakes Mission and Weapon Pack (English/Chinese/Korean/Japanese Ver.),REBELLION DEVELOPMENTS LTD,https://store.playstation.com/en-hk/product/EP4529-PPSA04444_00-SNIPERE5DLC00014,50%,HK$78.00,HK$39.00,20/3/2024 03:59 PM UTC,0,No,Shooter,6/7/2023
Sniper Elite 5: Landing Force Mission and Weapon Pack (English/Chinese/Korean/Japanese Ver.),REBELLION DEVELOPMENTS LTD,https://store.playstation.com/en-hk/product/EP4529-PPSA04444_00-SNIPERE5DLC00003,50%,HK$108.00,HK$54.00,20/3/2024 03:59 PM UTC,4,1,"Shooter, Action",26/7/2022
Sniper Elite 5: Rough Landing Mission and Weapon Pack (English/Chinese/Korean/Japanese Ver.),REBELLION DEVELOPMENTS LTD,https://store.playstation.com/en-hk/product/EP4529-PPSA04444_00-SNIPERE5DLC00010,50%,HK$108.00,HK$54.00,20/3/2024 03:59 PM UTC,3,5,Shooter,7/3/2023
Sniper Elite 5: Target Führer - Wolf Mountain (English/Chinese/Korean/Japanese Ver.),REBELLION DEVELOPMENTS LTD,https://store.playstation.com/en-hk/product/EP4529-PPSA04444_00-SNIPERE5DLC00001,50%,HK$78.00,HK$39.00,20/3/2024 03:59 PM UTC,0,No,"Fighting, Action",25/5/2022
"HITMAN World of Assassination Part One (Simplified Chinese, English, Traditional Chinese)",IO INTERACTIVE,https://store.playstation.com/en-hk/product/UP4572-PPSA01768_00-000000WOAPARTONE,60%,HK$238.00,HK$95.20,20/3/2024 03:59 PM UTC,4.35,25k,Action,18/12/2023
"A Plague Tale Bundle (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",Focus Entertainment,https://store.playstation.com/en-hk/product/EP4133-PPSA02785_00-APLAGUEINREQBDLE,50%,HK$638.00,HK$319.00,20/3/2024 03:59 PM UTC,4.55,12k,Adventure,18/1/2023
Diablo III: Eternal Collection (English Ver.),"Blizzard Entertainment, Inc.",https://store.playstation.com/en-hk/product/UP0002-CUSA00242_00-ASIAERNALCOLL000,67%,HK$465.00,HK$153.45,20/3/2024 03:59 PM UTC,4.75,66k,"Role Playing Games, Action, Role Playing Games",27/6/2017
"DRAGON BALL XENOVERSE 2 Special Edition (Simplified Chinese, Korean, Japanese, Traditional Chinese)",Bandai Namco Entertainment Inc.,https://store.playstation.com/en-hk/product/HP0700-CUSA05085_00-DBXV2SPEDITION00,40%,HK$399.00,HK$239.40,20/3/2024 03:59 PM UTC,3.84,214k,"Action, Fighting",11/10/2023
